,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
10053_at,0.0010207116342005622,0.14284661486139488,0.17419816805199465,0.0010206875255784759,0.0010205572523409292,0.0010207838817645482,0.0010204966293384911,0.44307011408092617,0.0010205413546636646,0.23376132472779773
10054_at,0.0007753230630502087,0.0007752574753444795,0.7108229330416145,0.0007752925079369858,0.033412278757269376,0.0007752512957101559,0.1658697782115565,0.08524333657681714,0.0007752973398984064,0.0007752517308020853
10055_at,0.026823991473969272,0.10160137542696111,0.001587502830336627,0.02064195418948459,0.3230436045458705,0.0015875294749770972,0.5199514653601846,0.001587569872412203,0.001587447279268227,0.0015875595465358297
10056_at,0.002000516061713284,0.002000335668301462,0.0020007983608797335,0.002000605480041919,0.0020002292146962027,0.8813244755952802,0.002000219275071189,0.10267234208528025,0.002000288419148459,0.002000189839587293
10058_at,0.0006493837025406665,0.0006494932035199372,0.000649437164846166,0.9941550007537464,0.0006494061809159415,0.0006494754214237529,0.0006496384679367765,0.0006493971207769357,0.0006493860653509776,0.0006493819189425063
10059_at,0.006250796883487869,0.006251253357698535,0.5656379446041674,0.006251156073849905,0.38435644440313277,0.006250464849018844,0.0062502689868314905,0.006250306889573988,0.00625100839627085,0.006250355555968246
10060_at,0.0014926616111534095,0.4672348596097662,0.001492933641631121,0.0014927070546976605,0.20567179007061342,0.0014926168745673376,0.0014926877472465675,0.001492748575815339,0.31664438858630145,0.0014926062282075714
10061_at,0.0010417345860527386,0.0010418231307399613,0.5599250813458951,0.0010417810183133978,0.00104175668364136,0.0010417839384324187,0.3877168192453703,0.0010417396348568508,0.04506560527740214,0.0010418751392956124
10063_i_at,0.0011116007597297016,0.0011113719601910821,0.00111150907639023,0.0011112204559195512,0.03109912126453609,0.0011112523278222263,0.0011112785458731581,0.9225449824663894,0.038576019332322846,0.001111643810825816
10068_i_at,0.8221065099252326,0.0013515986111034398,0.16708047942782164,0.0013515444473493844,0.0013520159232932065,0.0013517116828518046,0.0013514548292769485,0.001351500971479503,0.001351485376867108,0.0013516988047244797
10069_f_at,0.8221065099252326,0.0013515986111034398,0.16708047942782164,0.0013515444473493844,0.0013520159232932065,0.0013517116828518046,0.0013514548292769485,0.001351500971479503,0.001351485376867108,0.0013516988047244797
10071_at,0.0009260421457022607,0.000926025323786015,0.000926262925989078,0.9046866927271702,0.0009260642844432634,0.0009259857999544325,0.0009259704548822503,0.08790495803948663,0.0009260161286941535,0.0009259821698917698
10072_at,0.020001404644922578,0.02000109487627834,0.020000575478252836,0.020000347643549837,0.8199927299425815,0.02000075849472439,0.020001011814619298,0.020000704511131083,0.02000041515971975,0.02000095743422026
10075_at,0.0006371166411430062,0.07289593359865029,0.9220069935086184,0.0006371643803899766,0.0006372535413770382,0.0006371981975061286,0.0006372277307609165,0.0006370420693291075,0.0006370672388572517,0.0006370030933680128
10076_at,0.0031269535521951178,0.0031255734202918456,0.3458029064874821,0.0031259261230009894,0.3646509557449992,0.0031256065308153873,0.0031252340449896116,0.1387413565444673,0.13204986244199213,0.00312562510976637
10077_at,0.001163102107537071,0.03616623607018811,0.0011630555700556035,0.0011630122721520168,0.0011630758988140162,0.6698344245839166,0.0011628616029335534,0.0011628622738673858,0.0011629569187302994,0.2858584127018054
10078_at,0.04693615963778507,0.8436889436784933,0.0020842023634931755,0.0020836052746409867,0.002083871308868437,0.0020837060251115537,0.002083635270568979,0.0020838965865155983,0.09478837361752596,0.0020836062369969455
10080_at,0.0012991562060290446,0.0012990757071138924,0.0012988680215945852,0.25559737486491924,0.001299081683222823,0.6249015094794309,0.0012988375699769458,0.0012988527327213574,0.07265977266055361,0.039047471074437665
10085_at,0.0013889450639017237,0.0013890051257169898,0.0013889717437328632,0.0013889355535078572,0.1738629178176707,0.0013889538252806243,0.0013889971168549189,0.8150252977333469,0.0013890499580485472,0.0013889260619387655
10087_at,0.0027029527607484167,0.002703396571230276,0.002703120439888044,0.0027028426461783704,0.002703950007825406,0.002703808586931271,0.22637728346499741,0.0027028812443707544,0.7519967810363396,0.0027029832414904773
10089_at,0.0026316602462725406,0.002631670038578915,0.00263172508823559,0.002631660697532361,0.28595656898525534,0.002631683688895939,0.0026318730684064626,0.6929898207192741,0.00263167408668289,0.0026316633808658807
10091_at,0.0017860425474295735,0.0017863982765933882,0.16510792388638207,0.22189189477145188,0.037105477360399854,0.4282874572620364,0.001786023493299,0.13867616857795056,0.0017861669203659855,0.0017864469040913154
10092_at,0.1759020871243602,0.0020842620707547787,0.24687111747818674,0.1680671726811679,0.07856427949460067,0.002083682568247701,0.0020835867966423195,0.0020836270999768586,0.3201761271949919,0.00208405749107101
10097_at,0.7002202738266917,0.0012049518660722173,0.2901401005633514,0.001205038759271024,0.0012048829992833342,0.0012049401620985011,0.0012048693976252599,0.001204887763049537,0.0012049913146117714,0.0012050633479450976
10099_at,0.0021750053636578714,0.0021741302322028583,0.0021742942909835123,0.002173994866142953,0.3644961135923006,0.0021740436426704,0.6181100303969523,0.0021744280238110434,0.0021739635112841015,0.0021739960799942062
10100_at,0.0022233807800042414,0.0022224261892423705,0.0022225855172962545,0.0022223059589214153,0.4121281297792451,0.002222361394877812,0.5700915042549677,0.002222720031768722,0.0022222747209932,0.002222311372683106
10101_at,0.04427698856900363,0.0018186820508646355,0.09727260743986336,0.0018183764247964086,0.0018185760006301979,0.0018182927886202088,0.0018183161596650513,0.0018184103144587257,0.8457215223492085,0.0018182279028893856
10103_at,0.002500775732660959,0.16498436705519537,0.0025005620124406475,0.0025000865513085573,0.22926147218968176,0.36244953628916254,0.0025003208397078227,0.22830201646428971,0.0025004059374273517,0.0025004569281252653
10104_at,0.001111723383271285,0.0011113561773847564,0.07572759954983828,0.001111239793456348,0.0011112340366701261,0.9153814816351533,0.0011114315598408822,0.0011112946506369405,0.0011112874358453519,0.0011113517779027821
10107_at,0.2731784553965628,0.7025733098115425,0.003031222964732437,0.0030308232413306844,0.003031900898541821,0.0030312626604747594,0.003030813473247082,0.003030674721624943,0.0030308985611263504,0.0030306382708167674
10108_at,0.0015386912512397907,0.0015386237882411378,0.5071495797813164,0.001538574779069096,0.024669945874766605,0.0015386160177534387,0.001538626751369344,0.0015385637069053727,0.45741023254786334,0.001538545501475448
10109_at,0.0250012020338043,0.025000968115839836,0.025000967193211147,0.02500050302084949,0.7749916534386594,0.025001045378897028,0.025001074634931737,0.025000844054809065,0.02500071654430239,0.025001025584695573
10110_at,0.0016669487081553977,0.0016670805390487872,0.0016672926792120318,0.0016669288712921637,0.0016670755589903402,0.13156017903113518,0.8551037416611393,0.0016668521277132234,0.001666924487920597,0.0016669763353928178
10111_at,0.0023813653884553238,0.3751113838495525,0.002381517160936634,0.0023812497275640075,0.4620240844732534,0.14619563467886112,0.0023811099437429863,0.002381382616752569,0.002381242278502836,0.0023810298823785593
10113_at,0.46283558294102956,0.001852016524004897,0.032431157887544956,0.0018519909895274146,0.001852164127182279,0.0018521224731302282,0.001852043094951177,0.0018521159196342061,0.0018525169077725646,0.49176828913522275
10114_at,0.0010753467157476537,0.0010752862483960827,0.0010753070092722205,0.0010752917191076006,0.0010753215273857334,0.001075309642767324,0.0010753002116713696,0.001075308286202723,0.0010752937958551643,0.990322234843594
10115_at,0.0013519119647083398,0.08206020462451902,0.018829987726194066,0.5085317371599141,0.0013517454378651123,0.17169875052016548,0.0013514764065744825,0.0013515883705629075,0.001351744229448174,0.21212085356004834
10116_at,0.002000160911694845,0.002000272861764159,0.863072840584591,0.002000127510894158,0.12092520187785356,0.002000204032826185,0.002000252905281823,0.00200041786659274,0.002000337933140428,0.002000183515361082
10118_at,0.0010528982485628984,0.41527436509194154,0.0010530770464325064,0.45896203744622277,0.0010527844835648745,0.11839343280186926,0.0010527132021111835,0.0010527191801859175,0.0010528505294963128,0.0010531219696127163
10120_at,0.0006803634627109659,0.0006803448715413774,0.0006803818128626903,0.9314153359334989,0.06314168392425389,0.0006803150693737799,0.0006803696237365446,0.0006803729124022621,0.0006805307312853932,0.0006803016583342278
10121_at,0.0006025403492574801,0.7912983966245801,0.0006025020663021128,0.0006024719390619996,0.0006025386863568749,0.000602527237161655,0.0006024590444237466,0.20388165949758583,0.0006024328215964265,0.0006024717336737992
10124_at,0.0014494153319539807,0.0014495698286637584,0.0014495555348900077,0.001449306582602706,0.8162530286073136,0.0014496393830562553,0.0014499174227539245,0.14464273520424992,0.028957441886082853,0.001449390218433083
10125_at,0.0014706331433667745,0.5089025874467427,0.0014708641183589864,0.0014706692944417912,0.001470906805772403,0.05886253243186687,0.3710228022989074,0.0523876509090939,0.0014706931676948844,0.0014706603837545305
10127_at,0.7263198171548215,0.0009346559615120664,0.000934708902138917,0.013953829048265294,0.0009350906345265089,0.000934805192644765,0.0009350833694856961,0.0009346995943288945,0.0009347116214254397,0.2531825985208508
10129_at,0.04975611400831064,0.0021278566015187315,0.002127764392766019,0.0021277152790111762,0.9332211352342507,0.0021277716978840193,0.002127810022795943,0.0021283787389985613,0.002127772303049826,0.0021276817214144214
10130_at,0.00294140382414664,0.47317339690174015,0.08194628291201508,0.0029413071166318238,0.00294191507965912,0.0029422117843461507,0.0029418385313986243,0.0029415112731957906,0.4242886558566969,0.002941476720169735
