,labels,probabilities
10260_at,0,0.9498062773160431
10262_at,5,0.9677264803577972
10265_at,3,0.9903897208005205
10267_at,3,0.9993269769603124
10269_at,3,0.996830584753692
10270_at,3,0.9998262986894173
10272_at,0,0.9999293866812154
10273_at,6,0.7691769609525435
10274_at,3,0.8247220383464489
10276_at,7,0.9990560652561966
10277_at,0,0.9704210982667244
10278_at,7,0.9980981551739626
10279_at,4,0.9987052243101439
10282_at,0,0.9999848896793289
10283_at,6,0.9889944486683621
10289_f_at,2,0.9543646043637659
10290_at,5,0.9604152834420352
10291_at,5,0.9827188465317299
10292_at,3,0.9982636512305069
10294_at,7,0.9957702748634418
10297_at,7,0.990738024743306
10300_f_at,3,0.9932326278603677
10301_at,3,0.9997514897823181
10302_g_at,3,0.998938182421715
10304_at,7,0.993227976141623
10305_at,0,0.9951538960253883
10306_at,2,0.5592015919572569
10307_at,2,0.970814298591501
10308_at,5,0.9839124014616148
10310_at,0,0.9998418052651266
10313_at,0,0.9902684762607101
10316_at,3,0.9881557456399075
10318_at,0,0.9985426049830779
10319_at,3,0.6189928761481323
10322_at,7,0.8180751636048216
10323_at,7,0.9075381174545329
10324_at,6,0.9794989236341687
10325_at,3,0.9992608700055822
10326_g_at,3,0.9996387726494063
10327_at,6,0.9974425651699358
10328_at,2,0.698054599786636
10331_at,3,0.7786072680129779
10332_at,0,0.9984475521875765
10334_at,7,0.9436710335692634
10335_at,0,0.9998596241099315
10336_at,2,0.8684399197639916
10341_at,7,0.9989377963787659
10342_at,5,0.906508295840116
10343_at,2,0.9773441045126522
10344_at,0,0.5003420781146165
10346_at,3,0.9927452725890725
10348_at,2,0.975173673921206
10349_at,6,0.986920414793087
10350_at,7,0.9707064994961883
10351_at,0,0.999912506913513
10352_at,0,0.9999175531486746
10353_at,0,0.9704370281283108
10354_at,5,0.9878290657969524
10358_at,6,0.995803268241047
10360_at,4,0.6805795874692345
10361_f_at,2,0.964727028402195
10363_at,4,0.9980335164225338
10365_at,7,0.8641457592359395
10368_s_at,2,0.9613073886947402
10370_at,3,0.9247937964754845
10372_at,2,0.935436620920227
10374_at,6,0.9985610195112886
10376_at,7,0.9887390538167374
10377_at,3,0.9564330670300449
10378_at,3,0.9984228226761301
10381_at,2,0.95176457277961
10383_at,6,0.5349778869483964
10386_s_at,3,0.9996957254694986
10391_at,4,0.5968351423089812
10392_at,4,0.9973199293797527
10395_at,3,0.9979070919813882
10396_at,7,0.9197970644466585
10397_at,4,0.9243272532051718
10398_at,2,0.988185316065883
10401_at,7,0.9903574376645405
10404_at,4,0.48137774471964895
10405_at,2,0.6505584711554518
10408_at,3,0.973595859038645
10414_at,7,0.8998330330319114
10416_at,6,0.9760332463542339
10418_at,6,0.9982254991854224
10425_at,7,0.9958858362759616
10426_at,2,0.9899505495208845
10428_at,2,0.9838387472834508
10429_at,2,0.9438188521031736
10431_at,2,0.5036373132683737
10432_at,4,0.9981698262326241
10433_at,4,0.9908001108663806
10434_at,6,0.9412435186783362
10439_at,0,0.9923061766608604
10441_at,7,0.9714433643626615
10443_at,6,0.9982494132710885
10445_s_at,6,0.9112603079955315
10446_s_at,4,0.9990084002546812
10447_s_at,2,0.9876956869540926
10449_at,5,0.9700912113953765
10450_at,6,0.995143498601911
10455_at,2,0.967176968586734
10456_at,3,0.9963485704782037
10458_at,6,0.9976202421981736
10459_at,2,0.9898344465249801
10462_at,7,0.9992611582620639
10464_at,7,0.9999240975763635
10468_at,4,0.9976728648008061
10470_at,6,0.8787859195908746
10471_at,0,0.9991665208621068
10472_at,2,0.8773699638329336
10473_i_at,3,0.9997493536668763
10474_s_at,3,0.9996271260915542
10478_at,5,0.8976537481826113
10480_at,6,0.9756428595803116
10483_at,5,0.9636627388466392
10485_at,2,0.9943017199043369
10491_at,4,0.8849837919500074
10492_at,4,0.9985542590136928
10494_at,3,0.997880225580652
10498_at,2,0.8667360450440802
10500_at,2,0.9747581831305882
10501_at,4,0.993163001511863
10504_at,3,0.9552462901304097
10505_at,3,0.9993498519342253
10506_at,0,0.9968498136085038
10509_at,3,0.9593416262548591
10510_at,3,0.8743973702774088
10512_at,2,0.9902614658168176
10515_at,3,0.9463673197187603
10517_at,0,0.9740649539597869
10518_at,4,0.9938425470593204
10521_at,4,0.9951218241341765
10525_at,5,0.9927219831974912
10526_at,5,0.9608444341960953
10527_at,2,0.8791660824967175
10528_at,0,0.9102534315793567
10530_at,4,0.9979825536886856
10531_at,0,0.9996570833192253
10532_at,3,0.9961952161420641
10533_at,7,0.9997032424486312
10534_at,2,0.9227901132880356
10541_at,0,0.9999789117869722
10542_at,0,0.9995803403922956
10543_at,0,0.6773789582364932
10551_at,3,0.9883438289115812
10553_at,6,0.8704875225245371
10555_at,6,0.4989344779187187
10556_i_at,3,0.9996244768426817
10557_f_at,3,0.9998169212015101
10558_s_at,3,0.9896281276935522
10559_at,6,0.5485079814248898
10561_at,7,0.9933886473805139
10563_at,3,0.9995743402074286
10564_at,5,0.8629570556817636
10566_at,5,0.7721431726794692
10567_at,5,0.8921520977224182
10568_at,2,0.9713264818885204
10569_at,7,0.9981327557460322
10572_at,4,0.9980437867256214
10576_at,7,0.9999515275471267
10577_at,4,0.9935654346418373
10581_at,4,0.9983450128293386
10583_at,3,0.9975843035572773
10584_at,2,0.9600901302963968
10586_at,0,0.9166526033738475
10587_at,2,0.988036639799224
10591_at,5,0.9921695590991005
10592_at,2,0.9075772586860616
10593_at,3,0.9963622317876449
10598_at,0,0.999922331340745
10601_at,6,0.9576257226885229
10602_at,6,0.9983516782978248
10606_at,7,0.5821300845391493
10607_at,7,0.9997844101792209
10608_at,2,0.4849597466123331
10610_at,7,0.9990851680006081
10612_at,2,0.9166304642161863
10617_at,2,0.6448622611790499
10620_at,2,0.8935957155173092
10622_at,0,0.9996929071692326
10623_at,0,0.9944376664105372
10625_at,6,0.9692743658433215
10629_at,5,0.9971944689939626
10631_at,2,0.5221467515242776
10632_at,2,0.8773994418137497
10638_at,5,0.5147140256994904
10639_at,2,0.6612641096871243
10640_at,3,0.9856998683988234
10641_at,6,0.996528406764211
10643_at,7,0.9932121424915402
10645_at,2,0.9925757619881649
10646_at,4,0.9866124955297819
10647_at,5,0.5407933133813163
10648_at,4,0.9705444868064992
10652_at,7,0.991996642787457
10654_at,5,0.9552386633921547
10656_at,0,0.9963537977602984
10657_at,0,0.9998467258975232
10658_at,3,0.997646413132733
10659_at,3,0.9995643952631514
10662_at,0,0.9999424263680198
10670_at,3,0.9930407783618497
10671_at,7,0.9967351422933923
10675_at,7,0.9997958072288482
10676_at,7,0.9890511884849736
10677_at,6,0.9920976159139014
10678_at,6,0.8090755779012663
10679_at,2,0.9910063779296293
10681_at,2,0.9883767084062359
10683_at,7,0.9998856312752357
10684_at,2,0.932091676269993
10685_at,0,0.9994077296813548
10689_at,5,0.6253552754899002
10690_at,0,0.8120332951292398
10691_at,4,0.6305524453108792
10694_at,7,0.9982068245395709
10695_at,4,0.5819140314372118
10700_at,3,0.9985191681135779
10701_at,5,0.9879047944397322
10704_at,2,0.9804501706976018
10705_g_at,2,0.9896375916724873
10706_at,4,0.8799365374933457
10708_at,4,0.6945812671156913
10709_at,3,0.9996547561606971
10712_at,2,0.983759556661413
10713_at,2,0.9273445840211755
10714_at,3,0.9385901681877856
10715_at,7,0.9760072455585097
10717_at,3,0.9832799105491054
10718_at,7,0.947472422016584
10722_at,4,0.9471363439199959
10723_at,2,0.8646653457237845
10724_at,4,0.9984135774039736
10725_at,5,0.9274888250917608
10726_at,2,0.686072046323437
10729_at,0,0.9901050996332343
10730_at,0,0.9927574278877382
10731_at,4,0.8911849944564885
10732_at,5,0.9859165898919943
10733_at,4,0.8081844443141851
10735_at,7,0.9942224171867532
10736_at,7,0.9900039316829852
10737_at,3,0.8385977853388887
10738_i_at,3,0.9970334366641482
10746_at,6,0.9087497083184223
10747_at,0,0.9998634857440121
10748_at,4,0.7468552281648384
10749_at,7,0.8796199054452457
10750_at,5,0.8592276156241759
10751_at,4,0.8964661225476682
10752_at,7,0.9994612498515618
10753_at,3,0.9834375201455559
10754_at,7,0.9996901014214442
10755_at,4,0.9983842374191828
10756_at,6,0.9981041864569129
10757_at,4,0.8559179208367693
10758_at,2,0.7002233182955948
10761_at,3,0.6656665210902375
10762_at,5,0.6599787823625894
10763_at,2,0.7485279229653303
10765_at,2,0.5498711870413268
10766_at,2,0.9283182280491674
10767_at,5,0.5158687048890428
10768_at,7,0.9998202825677964
10769_at,4,0.9876375362433562
10770_at,7,0.9924299037198212
10771_at,0,0.9973660208499849
10774_at,2,0.9955867818802011
10775_at,4,0.9962787868667309
10776_at,4,0.9991226618054243
